url,sentence,label
https://www.bis.org/review/r170609c.htm,"central banks are now carefully monitoring newer developments, particularly digital currencies based on the use of a distributed ledger.",1
https://www.bis.org/review/r200715f.htm,"(2020), bundesbank round-up, deutsche bundesbank, annual report 2019, pp.",0
https://www.bis.org/review/r050624b.pdf,"these three major improvements - namely fostering transparency as a major strategic driver, focusing on a more systemic conceptual approach, in particular, through the financial stability forum, and developing improved global ownership, in particular, through the establishment of the g20 - have contributed to an international financial system which is more resilient than before.",0
http://www.bis.org/review/r230503e.htm,"this central bank digital currency is being used by the industry to explore possible use cases, and we are very interested to see the results.",1
http://www.bis.org/review/r220928e.htm,almost all of that attention is focused on retail cbdcs.,1
http://www.bis.org/review/r230522k.htm,"the hkma will work with the expert group to study different important issues, such as privacy protection, cybersecurity, and interoperability, and other technical and business aspects surrounding cbdc.",1
http://www.bis.org/review/r220830d.htm,retail cbdcs are issued to the general public.,1
https://www.bis.org/review/r201210j.htm,"3/ a european mobilisation on private payments infrastructure, thanks to the engagement of major european banks in the so-called ""european payments initiative"" (epi).",0
http://www.bis.org/review/r230724b.htm,the introduction of synchronised settlement would put us in a strong position to integrate central bank digital money in rtgs with innovative technologies (such as distributed ledger).,1
https://www.bis.org/review/r191007a.htm,"one of them is digitalisa- tion, which entails a gradual change in the competitive situation of the banks.",0
https://www.bis.org/review/r180605f.htm,"from a longer perspective, central banks are faced with an important challenge posed by innovations in information and communication technology.",0
https://www.bis.org/review/r110117d.pdf,"europe is in line with this approach, for the sake of the financial stability of the euro area as a whole.",0
https://www.bis.org/review/r981012c.pdf,"on september 23, the private sector parties arrived at an agreement providing a capital infusion of about $31⁄2 billion in return for substantially diluting existing shareholders' stake in ltcm.",0
https://www.bis.org/review/r080523e.pdf,the federal reserve has collaborated with the csbs on several interagency initiatives to help struggling homeowners and to enhance the functioning of the mortgage markets.,0
http://www.bis.org/review/r210705e.htm,"3/ when: getting ready to introduce a cbdc rapidly if necessary we therefore need to prepare ourselves, without hesitation, to introduce a cbdc rapidly if necessary: next july, the governing council could give the green light to launch an investigation phase, which could begin in the autumn and last until 2023. at that date, the governing council will decide on whether to launch a digital euro.",1
https://www.bis.org/review/r201020g.htm,"but, we are also thinking of alternative solutions which could help to overcome existing pain points, reap the benefits of digitalisation and support new payment use cases without introducing cbdc - and without the possible undesirable implications related to it.",1
http://www.bis.org/review/r220907b.htm,"according to a survey published in may by the bank for international settlements, to which a total of 81 central banks responded, nine out of ten are exploring central bank digital currency ( cbdc (central bank digital currency)).",1
http://www.bis.org/review/r221031j.htm,"at the same time, we are conscious that issuing of a cbdc has to be assessed in any aspect in order to preside potential risks.",1
https://www.bis.org/review/r161111a.htm,"we are being ably and vigorously supported in this work by a group of market participants, chaired by david puth, ceo of cls.",0
https://www.bis.org/review/r180627f.htm,"second, the activity of the bank of albania in the past year has been in line with our legal obligations and the recommendations of the parliament.",0
http://www.bis.org/review/r220926b.htm,[ but wholesale cbdc has existed for decades.,1
https://www.bis.org/review/r051212c.pdf,"* * * it is difficult to quantify the exact potential of ""hot money"" outflows.",0
https://www.bis.org/review/r111206g.pdf,"once a central bank ventures into conducting fiscal policy, it may find itself under increasing pressure from the private sector, financial markets, or the government to use its balance sheet to substitute for other fiscal decisions.",0
https://www.bis.org/review/r240621a.htm,"six banks are participating in the current project helvetia iii pilot: banque cantonale vaudoise, basler kantonalbank, commerzbank, hypothekarbank lenzburg, ubs and zürcher kantonalbank.",1
http://www.bis.org/review/r230718b.htm,"in order for the digital euro to play an anchoring role in the public's trust in central bank money, it must have the status of legal tender, on a par with banknotes, and the highest level of privacy compatible with the public interest, including the need to bar its use for money laundering and the financing of terrorism.",1
http://www.bis.org/review/r210624b.htm,the economy and society cannot be separated from the environment and our actions have to be cognisant of this.,0
http://www.bis.org/review/r230705b.htm,the banque de france has played a pioneering role here through twelve experiments conducted with the private sector: we will be publishing the results this summer.,0
https://www.bis.org/review/r240409b.htm,"economically and legally, the wholesale cbdc used in helvetia iii is equivalent to sight deposits on our balance sheet.",1
https://www.bis.org/review/r190718c.htm,"in the world of big tech, strengthening the value of our financial network is critical for a small economy like thailand, and it needs to be done so that our network remains dynamic and efficient, fostering an ecosystem conducive to innovation and competition.",0
https://www.bis.org/review/r050322a.pdf,the value of such a system is clear.,0
https://www.bis.org/review/r151020a.htm,"dominant institutional investors often place similar bets, and share similar benchmarks and pricing and risk management platforms.",0
https://www.bis.org/review/r241014i.htm,"obviously, this is an alarming trend in terms of market competition.",0
http://www.bis.org/review/r220906g.htm,"but in the end, you have to work harder.",0
https://www.bis.org/review/r160830b.pdf,the mpc was acutely aware of this when it decided at the beginning of this month to reduce bank rate to 0.25%.,0
