text,label
"banknotes are payment instruments with finality and can be used at any time, by any one, and in this regard some have recently argued that the central bank should issue its own digital currency as a substitute for banknotes.",Wait-and-See
"their argument for central bank digital currency seems to be based on the increased awareness of the costs of processing and storing paper-based banknotes, and they ask the central bank to adopt the newest information technology in order to satisfy the needs of the economy.",Pro-CBDC
"like many other central banks, we are also researching the conceptual merits of issuing electronic money ourselves.8 in fact, the potential for dlt is actually stronger for applications outside of digital currencies.",Wait-and-See
what is the impact of central bank digital currency on physical cash?,Wait-and-See
"what is a ""central bank digital currency""?",Wait-and-See
"and if a private-sector digital currency uses the technology to substitute for a third-party clearer, the central bank counterpart would do the opposite.",Wait-and-See
if all a cbdc did was to substitute for cash - if it bore no interest and came without any of the extra services we get with bank accounts1 - people would probably still want to keep most of their money in commercial banks.,Anti-CBDC
that drain would be greater the more closely a cbdc resembles a genuine bank account.,Anti-CBDC
"a ""central bank digital currency"" (cbdc) would involve putting these reserve deposits on a distributed ledger.",Wait-and-See
"it's also true that, were a cbdc fully to displace paper currency, that would open the door to the possibility of materially negative interest rates (buiter (2009), rogoff (2014), haldane (2015)).",Anti-CBDC
"with an easily available alternative, banks' remaining deposits would more readily migrate to the cbdc during times of stress.",Anti-CBDC
"no longer would a cbdc be a purely technical decision, about the costs and security of exchanging money.",Wait-and-See
"whether or not ""digital currency"" is the right way to describe something like bitcoin, or its central bank counterpart, is also unclear.",Wait-and-See
"if it were a close substitute for bank deposits, a cbdc would represent a shift towards a ""narrower"" banking system.",Anti-CBDC
"barrdear, j and kumhof, m (2016), ""the macroeconomics of central bank-issued digital currency"", bank of england working paper, forthcoming.",Wait-and-See
"finally, whether there should be a shift out of cash and towards digital currencies issued by central banks is yet another discussion.",Wait-and-See
"without the backing of a central bank asset and institutional support, it is not clear how a private digital currency at the center of a large-scale payment system would behave, or whether the payment system would be able to function, in times of stress.",Anti-CBDC
central bank digital currencies are also not immune to a large range of risks and could even adversely affect financial stability.,Anti-CBDC
bank staff are exploring the circumstances under which it might be appropriate for the central bank to issue its own digital currency for retail transactions.,Wait-and-See
"it is conceivable, for example, that eaud tokens could be issued by banks or even by large nonbanks, although it is hard to see them being issued as cryptocurrency tokens under a bitcoinstyle protocol, with no central entity standing behind the liability.",Wait-and-See
"while distributed ledger technologies, albeit not yet mature, offer hope and opportunities for enhancing the efficiency and resilience of the payment infrastructure, for central banks, digital currencies are not yet convincing and, in my view, rightly remain an area for other stakeholders.",Anti-CBDC
slide 4: cbdc denmark is one of the most digitised countries in the world.,Wait-and-See
does that mean that we should also have central bank digital currency as a supplement to cash and deposits in commercial banks?,Wait-and-See
"whereas central bank digital currency would represent a claim on danmarks nationalbank - like cash - a crypto currency does not represent a claim on anybody, so it has no underlying value.",Wait-and-See
one argument used in favour of central bank digital currency is that it promotes a more secure and efficient payment system.,Pro-CBDC
but in a danish context i find it difficult to see what central bank digital currency would contribute with that our existing payment solutions do not already offer.,Anti-CBDC
"in our assessment, the potential gains from introducing central bank digital currency do not match the considerable challenges that its introduction might create.",Anti-CBDC
