url,sentence,label
http://www.bis.org/review/r200817d.htm,the currently ongoing research and development on central bank digital currency must be carried out as planned.,positive
http://www.bis.org/review/r201223h.htm,"by testing the possible uses of a cbdc, we investigate not only the potential of blockchain technologies but we also question the players in the ecosystem on what tomorrow's landscape could look like, on subjects as fundamental as the methods of exchanging financial instruments for cbdcs, the improvement of the conditions for executing cross-border payments or new ways of making cbdcs available to financial sector players.",positive
http://www.bis.org/review/r201223i.htm,"the potential impacts on the banking industry and financial stability could be controlled using different means: for example, by having the retail central bank digital currency distributed by the banks, directly to individuals; and by limiting the amount of digital euro in circulation to prevent an excessive conversion of deposited commercial bank money into cbdc.",positive
http://www.bis.org/review/r201223i.htm,"the banque de france was the first to start a programme of eight experiments on a wholesale cbdc, notably with a number of fintechs, to improve the functioning of the financial markets and institutions.",positive
http://www.bis.org/review/r201223i.htm,"2/ an acceleration on the european central bank digital currency (cbdc), the ""digital euro"".",neutral
http://www.bis.org/review/r210303k.htm,"14 the bank set out some initial thinking on this in a march 2020 discussion paper, and together with six other central banks and the bank for international settlements published a report in october 2020 identifying the foundational principles necessary for any publicly available cbdcs to help central banks meet their public policy objectives.",neutral
http://www.bis.org/review/r210304f.htm,"this 'm-cbdc bridge' project is exploring the potential of using blockchain technology to facilitate real-time cross-border payments, which could reduce costs and enhance transparency for users.",positive
http://www.bis.org/review/r210304f.htm,"cbdcs have a range of promising applications and, together with our partner central banks, we want to be at the forefront of this development.",positive
http://www.bis.org/review/r210316a.htm,"i believe that we are currently facing digital transformation challenges in the move toward neue kombination 2.0. central bank digital currency finally, i would like to touch upon central bank digital currency (cbdc).",neutral
http://www.bis.org/review/r210319a.htm,"3 see bank for international settlements (2020), ""central banks and bis publish first central bank digital currency (cbdc) report laying out key requirements,"" press release, october 9.",neutral
http://www.bis.org/review/r210323d.htm,"widespread adoption of these digital currencies by the general public could also diminish the use of the sovereign currency, and even affect a central bank's monetary operations.",negative
http://www.bis.org/review/r210323d.htm,"we are extremely excited about these initiatives on cbdcs on multiple fronts, and i would be very happy to share more findings with you all as we make further progress.",positive
http://www.bis.org/review/r210323d.htm,"we aim to, through this m-cbdc bridge, foster a collaborative environment for central banks and the private sector to further explore the potentials of dlt to improve the settlement and liquidity management efficiencies in crossborder payments.",positive
http://www.bis.org/review/r210323d.htm,"conclusion 19. i have highlighted just three areas, namely payment and cbdc, use of data, and digitalization of our own organization, as some of the key challenges many of us are facing.",neutral
http://www.bis.org/review/r210323d.htm,"at the wholesale level, we see great opportunities for cbdcs to enhance the efficiency of cross-border payments.",positive
http://www.bis.org/review/r210323d.htm,"apart from being a new and trusted digital means of payment, cbdcs could potentially also foster competition and innovation in the payment sector.",positive
http://www.bis.org/review/r210323d.htm,"7. here at the hkma, we have been exploring technologies for both wholesale and general purpose cbdcs.",neutral
http://www.bis.org/review/r210326e.htm,it also needs to be appreciated that there are not many practical instances of operationalisation of cbdc across the world; this calls for utmost precaution so that we can produce a safe and robust model.,positive
http://www.bis.org/review/r210326g.htm,these are the hub's contributions to the central banking community as we pilot global multilateral platforms for cross-border payments involving wholesale cbdcs.,positive
http://www.bis.org/review/r210329b.htm,"in this regard, the emergence of proposals involving central bank digital currencies (cbdcs) have led to a stimulating debate on their implementation.",neutral
http://www.bis.org/review/r210414d.htm,"key areas of analysis include a consideration of ways to prevent a digital euro from leading to excessive conversion of bank deposits into cbdc, which could disrupt bank refinancing and banks' capacity to lend to the real economy, in turn destabilising the financial system and financing of the economy.",neutral
http://www.bis.org/review/r210414d.htm,"if the decision were taken to introduce a central bank digital euro, this currency would also have to help to strengthen the sovereignty and competitiveness of the european payment market, while interacting smoothly with epi.",positive
