url,sentence,label
https://www.bis.org/review/r160303e.pdf,in particular - and this is the potential catch with too widespread a cbdc - it might threaten their lending activity.,Retail CBDC
https://www.bis.org/review/r170117b.htm,"today i will focus on one type of digital money - central bank digital currency, or digital base money (dbm).",General/Unspecified
https://www.bis.org/review/r180313a.htm,"so far, however, central bank experiments with such forms of cbdcs have not shown conclusive benefits for wholesale payments and beyond, but technology and design are evolving quickly.",Wholesale CBDC
https://www.bis.org/review/r180606g.htm,"another project in the pipeline is the ""project inthanon"" in which the bank of thailand and banks will co-develop a new way of conducting interbank settlement using wholesale central bank digital currency or cbdcs.",Wholesale CBDC
https://www.bis.org/review/r180727f.htm,"in it, we distinguished between two types of cbdc: wholesale cbdc that is limited to selected financial institutions, and general purpose currency for use by the public.",General/Unspecified
https://www.bis.org/review/r180727f.htm,"the report highlighted the potential benefits in wholesale cbdc for more efficient and secure wholesale payment systems, although more exploration will be required to fully understand these benefits.",Wholesale CBDC
https://www.bis.org/review/r180727f.htm,24. mas started on our wholesale cbdc journey two years ago when we introduced a digital token representing the singapore dollar on distributed ledger technology (dlt) to settle interbank debts.,Wholesale CBDC
https://www.bis.org/review/r180727f.htm,"this year, mas, bank of canada and bank of england embarked on a project to explore how wholesale cbdc, underpinned by dlt, can be used to address the inefficiency that correspondent banking faces.",Wholesale CBDC
https://www.bis.org/review/r180727f.htm,"12 12 bis, central bank digital currencies, 2018",General/Unspecified
https://www.bis.org/review/r180920a.htm,"many other ""known"" areas still require further refinement: ï‚· from understanding the impacts of deepening adoption of digital technology on productions, labor markets, inflation dynamics, and hence conduct of monetary policy; ï‚· to the emergence of cryptocurrencies and associated payment technologies that may improve financial inclusion and incorporate 'smart-contracts', but may have implications on financial stability, consumer protection and even the environment; and ï‚· to the various proof-of-concept initiatives using dlt or blockchain on wholesale central bank digital currency (cbdc), where design and technology choices are being explored.",Wholesale CBDC
https://www.bis.org/review/r181002a.htm,"another project in the pipeline is ""project inthanon"", an experiment on a new way of conducting interbank settlement using wholesale central bank digital currency.",Wholesale CBDC
https://www.bis.org/review/r181004d.htm,"it is still early days, but it seems cbdc offers greater potential in wholesale than the retail area in terms of payment and settlement, especially in the cross-border context.",Wholesale CBDC
https://www.bis.org/review/r190321a.htm,"10 a bank for international settlements publication (2018) by the committee on payments and markets infrastructures indicates that central bank digital currencies (cbdcs) are being widely explored around the world, but mostly for limited wholesale use in interbank markets.",Wholesale CBDC
https://www.bis.org/review/r190527b.htm,"the debate is whether cbdcs should be retail, or wholesale only currencies, or perhaps both.",General/Unspecified
https://www.bis.org/review/r190527b.htm,one example would be the value-based wholesale cbdc.,Wholesale CBDC
https://www.bis.org/review/r190527b.htm,but here is only one of several possible scenarios for the wholesale cbdc.,Wholesale CBDC
https://www.bis.org/review/r190527b.htm,"thus the rationale for the wholesale cbdc could be to enhance payments and securities settlement efficiency, as well as to reduce counterparty credit and liquidity risks.",Wholesale CBDC
https://www.bis.org/review/r190527b.htm,"therefore, assessing the balance between risks and benefits from the perspective of generally conservative central banks, the wholesale cbdc seems like a more viable option going forward.",Wholesale CBDC
https://www.bis.org/review/r190712h.htm,"digital currencies issued by central banks are called ""central bank digital currencies"" (cbdcs).",General/Unspecified
https://www.bis.org/review/r190712h.htm,"this variant, called ""wholesale cbdc,"" adopts new information technologies such as distributed ledger technology (dlt) in settlements using central bank deposits, or central bank liabilities which have been digitized.",Wholesale CBDC
https://www.bis.org/review/r190712h.htm,"project stella, a joint research project with the european central bank is part of these initiatives.5 this project has resulted in three reports so far, exploring, for example, the applicability of dlt to payments using central bank deposits -- that is, wholesale cbdc.",Wholesale CBDC
https://www.bis.org/review/r190712h.htm,the sum of general purpose cbdcs and wholesale cbdcs.,General/Unspecified
https://www.bis.org/review/r190712h.htm,the sum of general purpose cbdcs and wholesale cbdcs.,General/Unspecified
https://www.bis.org/review/r190919d.htm,â€¢ cross-border use of a cbdc may be explored as a more efficient alternative for remittances a wholesale cbdc may have â€¢ remittances using a structure of correspondent institutions are expensive and usually take time several benefits to settle.,Wholesale CBDC
https://www.bis.org/review/r191015b.htm,motivations for a wholesale cbdc are of a different nature.,Wholesale CBDC
https://www.bis.org/review/r191015b.htm,"against this background, the potential role of a wholesale cbdc is in my view worth considering if not desirable.",Wholesale CBDC
https://www.bis.org/review/r191122l.htm,the wholesale type restricts access to cbdc to selected financial market participants for â€¢ a specific purpose.,Wholesale CBDC
https://www.bis.org/review/r191204f.htm,"additional skills will be recruited to strengthen its expertise, and, with the help of our lab, the diip will work with industry innovators from the private sector: we want to start running experiments rapidly and will launch a call for projects before the end of the first quarter of 2020. we are particularly keen to take part in experiments to integrate a ""wholesale"" cbdc into innovative procedures for exchanging and settling tokenised financial assets.",Wholesale CBDC
https://www.bis.org/review/r191204f.htm,"as a result, in the long term, two different uses of the cbdc could exist side by side: one for payments between financial sector players (a socalled ""wholesale"" currency) that uses blockchain technology and all its possibilities, notably smart contracts; and another for the general public (a so-called ""retail"" currency) that is simpler and better suited to retail transactions.",General/Unspecified
https://www.bis.org/review/r191204f.htm,"in addition, following on from the questions raised by the governor of the bank of england, mark carney, on the idea of creating an international digital currency in response to the dominance of the us dollar, i think there would be some advantage in moving rapidly to issue at least a wholesale cbdc, as we would be the first such issuer in the world and would thus reap the benefits of having a benchmark cbdc.",Wholesale CBDC
https://www.bis.org/review/r191213a.htm,"with respect to integrating digital central bank money, the focus is on two options: an snb-issued digital token for financial institutions ('wholesale central bank digital currency') and an interface with the swiss interbank clearing payment system.",Wholesale CBDC
https://www.bis.org/review/r200115c.htm,"experimentation is key in this area and this is why, as already announced by governor villeroy de galhau, the banque de france will launch a call for projects before the end of the first quarter of 2020. indeed, we wish to work with industry innovators and start running experiments rapidly to possibly integrate a ""wholesale"" cbdc into innovative procedures for exchanging and settling tokenised financial assets.",Wholesale CBDC
https://www.bis.org/review/r200304c.htm,"it is in this context that the opportunity for a ""wholesale"" central bank digital currency could arise.",Wholesale CBDC
https://www.bis.org/review/r200511a.htm,"a wholesale cbdc, restricted to a limited group of financial counterparties, would be largely business as usual.",Wholesale CBDC
https://www.bis.org/review/r200803c.htm,"in this regard, central bank digital currency (i.e., digital currency issued by the central bank) is so-called one important matter for consideration.",General/Unspecified
https://www.bis.org/review/r200911a.htm,in theory a central bank digital currency (cbdc) can be designed for wholesale or general-purpose use.,General/Unspecified
https://www.bis.org/review/r200911e.htm,"the banque de france is now engaging with the innovators from the private sector to conduct a program of 8 experiments, with a view to integrating a wholesale cbdc into innovative procedures for exchanging and settling tokenized financial assets.",Wholesale CBDC
https://www.bis.org/review/r201008g.htm,the banque de france is now engaging with the innovators from the private sector to conduct a program of 8 experiments on wholesale cbdc.,Wholesale CBDC
https://www.bis.org/review/r201008g.htm,"and it may mean also that we decide to issue a wholesale cbdc, with the aim of improving the functioning of financial markets and institutions.",Wholesale CBDC
https://www.bis.org/review/r201013b.htm,"the banque de france was the first to start a programme of eight experiments on a wholesale cbdc, notably with a number of fintechs, to improve the functioning of the financial markets and institutions.",Wholesale CBDC
https://www.bis.org/review/r201103c.htm,"leveraging the wholesale-cbdcs on this platform, e-wallet service providers may be able to offer retail use cases such as remittances and cross-border payments for travelers within the region.",Wholesale CBDC
https://www.bis.org/review/r201201e.htm,"such a wholesale cbdc could, for example, complement innovative ways of exchanging and settling financial assets.",Wholesale CBDC
https://www.bis.org/review/r201208b.htm,"for example, the introduction of a wholesale-only cbdc could improve the efficiency and the risk management of the interbank payment systems but there are no clear evidences if and how this solution will be more advantageous than current account settlement systems.",Wholesale CBDC
https://www.bis.org/review/r201210j.htm,"it also means that we may decide to issue a wholesale cbdc, with the aim of improving the functioning of financial markets and institutions and preserve the anchor role of central bank money for interbank transactions.",Wholesale CBDC
https://www.bis.org/review/r201210j.htm,the banque de france is currently working with innovators from the private sector to conduct a program of 8 experiments on wholesale cbdc.,Wholesale CBDC
https://www.bis.org/review/r201210j.htm,"in that respect, i am happy to announce that mas and banque de france will strengthen their cooperation with the aim of conducting tests on wholesale cbdcs next year.",Wholesale CBDC
https://www.bis.org/review/r201211b.htm,the banque de france's ongoing programme of experiments on wholesale cbdc among the constitutes further tangible evidence of our active support for innovation.,Wholesale CBDC
https://www.bis.org/review/r201211b.htm,"the way we experiment with cbdcs for wholesale transactions perfectly illustrates our choice to move from conceptual and academic considerations, to experiments in the field, hand in hand with market players, using a pragmatic, trial and error way of working.",Wholesale CBDC
