#,url,sentence,label
1,http://www.bis.org/review/r230503e.htm,"this central bank digital currency is being used by the industry to explore possible use cases, and we are very interested to see the results.",Process
2,https://www.bis.org/review/r190918b.htm,"their experiments with the ""e-krona"" and ""e-peso"" provide useful food for thought.",Process
3,http://www.bis.org/review/r230315d.htm,"in this context, cbdc holds significant promise.",Risk-Benefit
4,http://www.bis.org/review/r221104b.htm,reshaping like fire - programmable money (project orchid) the third desired outcome is programmable money.,Feature
5,http://www.bis.org/review/r230419c.htm,"these are important questions ""problems"" that a cbdc would be worth exploring, but they link back to the identification of designed to solve.",Process
6,https://www.bis.org/review/r180627a.htm,b) cbdc is introduced as an interest bearing currency.,Feature
7,http://www.bis.org/review/r220506a.htm,at least in this field we see some rather positive prospects: a potential digital euro would offer a huge array of opportunities.,Risk-Benefit
8,http://www.bis.org/review/r220210d.htm,"â€¢ for a subject that has attracted much attention, there are neither strong reasons for or against a retail cbdc in singapore.",Process
9,https://www.bis.org/review/r180627a.htm,"introducing cbdc as an interest bearing security has its merits, as explained above, but it comes also with great risks.",Risk-Benefit
10,https://www.bis.org/review/r240619d.htm,"the topic of the ""digital euro"" has encountered particularly keen interest.",Process
11,http://www.bis.org/review/r220713a.htm,"but let me start with the other face of the cbdc mountain: retail cbdc; this one, by contrast, is the focus of both public excitement and private questions.",Process
12,http://www.bis.org/review/r230419c.htm,"some of the research on the design and functionality of cbdcs contemplates things like increased programmability- allowing the efficient transfer of money through the use of so-called smart contracts-that could improve upon existing, regulated forms of money and payments.",Feature
13,http://www.bis.org/review/r221003i.htm,"this is a learning opportunity, and will contribute to our design analysis in the subsequent phases of the digital euro project.",Process
14,http://www.bis.org/review/r210705i.htm,these ideas could be particularly relevant to the development of cbdcs.,Process
15,https://www.bis.org/review/r190919d.htm,"the areas of interest are open banking, suptech, securities and cash settlement of the cbc's operations using dlt, cryptoassets from a financial stability perspective, digital payments (retail and cross-border, mainly), cbdcs, cybersecurity from a financial stability perspective, and big data and digital economy.",Process
16,http://www.bis.org/review/r221028b.htm,"in closing, another reason i have taken interest in cbdc personally is that i think cbdc could serve as a golden opportunity to strengthen regional financial cooperation.",Risk-Benefit
17,http://www.bis.org/review/r220810a.htm,"after this overview, you may share my views on the topic of the interoperability of central bank digital currency: namely that cbdc (central bank digital currency) presents a special opportunity to make international payments faster, more cost-effective and more transparent.",Risk-Benefit
18,http://www.bis.org/review/r230705c.htm,"3 the ""recipe for success"" for a digital euro but how could a digital euro become a success?",Process
19,https://www.bis.org/review/r240918c.htm,wholesale cbdc considerations in australia let's now turn to a wholesale cbdc.,Process
20,http://www.bis.org/review/r221031j.htm,"indeed, the respondents from all countries and different identified groups perceive this as one of the most relevant features of a digital euro.",Process
21,http://www.bis.org/review/r220810a.htm,"so when we talk about the interoperability of cbdc (central bank digital currency), we are looking at a medium-term goal.",Process
22,http://www.bis.org/review/r211202d.htm,"while this is only the first contact to have been made, the information is very valuable and, naturally, it will be taken into account when deciding on the configuration a future digital euro should adopt.",Process
23,https://www.bis.org/review/r240918c.htm,"at one level, my sense is that much of the attention, if not intrigue, follows from cbdc connecting to deeply held views in parts of the community about the rights of citizens and the role and obligations of the state.",Process
24,http://www.bis.org/review/r230705b.htm,we have demonstrated that wholesale cbdc could facilitate interoperability between different dlt platforms developed by the public or private sector as well as with existing settlement systems.,Feature
25,https://www.bis.org/review/r240625c.htm,"nonetheless, i suppose it will also be of great european interest: the digital euro.",Process
26,https://www.bis.org/review/r240425d.htm,one of the reasons for the bundesbank's interest is that dci research includes central bank digital currencies.,Process
27,http://www.bis.org/review/r220422d.htm,"for example, further discussion of the options and approaches to calibrating cbdcs would be useful for both topics.",Process
28,https://www.bis.org/review/r240326a.htm,"for the eurosystem, the digital euro is the showpiece example.",Process
29,https://www.bis.org/review/r201117c.htm,"but it raises fundamental questions, including about digital sovereignty, the role of big techs, and about the future development of a digital euro.",Process
30,https://www.bis.org/review/r241014i.htm,"4 deutsche bundesbank, cross-border interoperability of central bank digital currency , monthly report, july 2022, p. 59-75.",Process
31,http://www.bis.org/review/r221109c.htm,the key insight from this consultation was the need for any potential cbdc to be privacy centric.,Feature
32,https://www.bis.org/review/r240828p.htm,the programmability feature of cbdc could serve as a key enabler for financial inclusion by ensuring delivery of funds to the targeted user.,Feature
33,http://www.bis.org/review/r221031j.htm,cybersecurity implications of a retail cbdc design are also particularly relevant.,Risk-Benefit
34,https://www.bis.org/review/r201022f.htm,"we have started to explore appropriate strategies, for example in relation to the remuneration of digital euro holdings[14] and the protection of privacy.",Process
35,https://www.bis.org/review/r231121i.htm,"as in 2021, i would thus like to focus this afternoon on the digital euro project, which i consider to be of great interest to us all, not only as professional economists, but also as ordinary citizens.",Process
36,http://www.bis.org/review/r220422d.htm,a notable conceptual finding is that an interest-bearing cbdc can foster bank intermediation.,Feature
37,http://www.bis.org/review/r221017i.htm,"what major security gap exists that a cbdc, and only a cbdc, can close?",Risk-Benefit
