country,mean_stance,n_speeches,first_date,last_date,anti_share,wait_share,pro_share
Bahamas,1.0,4,2018-09-17,2020-01-16 00:00:00,0.0,0.0,1.0
North Macedonia,1.0,3,2017-07-07,2021-12-09 00:00:00,0.0,0.0,1.0
Portugal,1.0,3,2021-06-28,2021-10-11 00:00:00,0.0,0.0,1.0
Barbados,1.0,2,2017-10-03,2022-07-26 00:00:00,0.0,0.0,1.0
Cyprus,1.0,2,2023-12-07,2023-12-09 00:00:00,0.0,0.0,1.0
Israel,1.0,2,2022-06-20,2022-11-16 00:00:00,0.0,0.0,1.0
Bosnia and Herzegovina,1.0,1,2018-11-01,2018-11-01 00:00:00,0.0,0.0,1.0
Eswatini,1.0,1,2024-06-13,2024-06-13 00:00:00,0.0,0.0,1.0
Kuwait,1.0,1,2018-11-27,2018-11-27 00:00:00,0.0,0.0,1.0
Morocco,1.0,1,2019-03-13,2019-03-13 00:00:00,0.0,0.0,1.0
Nepal,1.0,1,2024-02-29,2024-02-29 00:00:00,0.0,0.0,1.0
Nigeria,1.0,1,2021-11-26,2021-11-26 00:00:00,0.0,0.0,1.0
Slovenia,1.0,1,2023-12-15,2023-12-15 00:00:00,0.0,0.0,1.0
UAE,1.0,1,2018-12-10,2018-12-10 00:00:00,0.0,0.0,1.0
Hong Kong,0.9230769230769231,26,2018-09-21,2024-11-27 00:00:00,0.0,0.07692307692307693,0.9230769230769231
Mauritius,0.875,8,2017-11-03,2023-04-26 00:00:00,0.0,0.125,0.875
Thailand,0.875,8,2018-06-05,2022-12-02 00:00:00,0.0,0.125,0.875
India,0.8214285714285714,28,2021-03-25,2024-12-14 00:00:00,0.0,0.17857142857142858,0.8214285714285714
Finland,0.8,5,2016-06-14,2023-09-26 00:00:00,0.0,0.2,0.8
France,0.7619047619047619,63,2018-03-13,2024-11-06 00:00:00,0.0,0.23809523809523808,0.7619047619047619
Greece,0.75,4,2018-05-24,2022-10-31 00:00:00,0.0,0.25,0.75
Singapore,0.7333333333333333,15,2016-11-16,2024-11-04 00:00:00,0.0,0.26666666666666666,0.7333333333333333
Italy,0.7037037037037037,27,2018-06-07,2024-09-24 00:00:00,0.0,0.2962962962962963,0.7037037037037037
Malaysia,0.6666666666666666,6,2017-05-15,2024-07-17 00:00:00,0.0,0.3333333333333333,0.6666666666666666
China,0.6666666666666666,3,2021-09-18,2022-10-31 00:00:00,0.0,0.3333333333333333,0.6666666666666666
Curacao and Sint Maarten,0.6666666666666666,3,2018-06-29,2022-06-16 00:00:00,0.0,0.3333333333333333,0.6666666666666666
Spain,0.5833333333333334,12,2017-12-06,2023-11-20 00:00:00,0.0,0.4166666666666667,0.5833333333333334
Germany,0.5714285714285714,56,2016-06-21,2024-10-14 00:00:00,0.017857142857142856,0.39285714285714285,0.5892857142857143
Switzerland,0.5555555555555556,9,2018-01-16,2024-11-21 00:00:00,0.0,0.4444444444444444,0.5555555555555556
