key,country_our,country_auer,iso2,mean_stance,stance01_our,n_speeches,anti_share,wait_share,pro_share,auer_stance_raw,auer_stance_norm,project_score_overall,project_score_retail,project_score_wholesale,search_interest,search_interest_normalized,first_date,last_date
albania,Albania,Albania,AL,0.5,0.75,2,0.0,0.5,0.5,0.0,-0.365377128,0.0,0.0,0.0,0.0,-0.685964047,2020-12-10,2021-12-06 00:00:00
australia,Australia,Australia,AU,0.5,0.75,14,0.0,0.5,0.5,0.888888889,2.830172686,2.0,2.0,2.0,11.42105263,1.111728854,2017-12-13,2024-12-12 00:00:00
bahamas,Bahamas,Bahamas (the),BS,1.0,1.0,4,0.0,0.0,1.0,1.0,3.229616413,3.0,3.0,0.0,0.0,-0.685964047,2018-09-17,2020-01-16 00:00:00
barbados,Barbados,Barbados,BB,1.0,1.0,2,0.0,0.0,1.0,0.0,-0.365377128,0.0,0.0,0.0,0.0,-0.685964047,2017-10-03,2022-07-26 00:00:00
belgium,Belgium,Belgium,BE,0.0,0.5,2,0.0,1.0,0.0,0.0,-0.365377128,0.0,0.0,0.0,13.57894737,1.451385116,2018-09-14,2018-11-30 00:00:00
bosnia and herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,0.0,0.0,0.0,0.0,-0.685964047,2018-11-01,2018-11-01 00:00:00
botswana,Botswana,Botswana,BW,-1.0,0.0,1,1.0,0.0,0.0,0.0,-0.365377128,0.0,0.0,0.0,0.0,-0.685964047,2017-11-16,2017-11-16 00:00:00
canada,Canada,Canada,CA,0.2,0.6,10,0.0,0.8,0.2,0.111111111,0.034066599,2.0,1.0,2.0,19.40225564,2.367983636,2016-06-17,2024-09-24 00:00:00
chile,Chile,Chile,CL,0.5,0.75,2,0.0,0.5,0.5,-0.333333333,-1.563708308,1.0,1.0,0.0,14.18796992,1.547246291,2017-06-29,2019-09-12 00:00:00
china,China,China,CN,0.6666666666666666,0.8333333333333333,3,0.0,0.3333333333333333,0.6666666666666666,0.6,1.791618997,2.0,2.0,2.0,4.374367567,0.002568768,2021-09-18,2022-10-31 00:00:00
croatia,Croatia,Croatia,HR,0.5,0.75,2,0.0,0.5,0.5,0.0,-0.365377128,0.0,0.0,0.0,11.86090226,1.180961925,2023-03-09,2023-06-29 00:00:00
curacao and sint maarten,Curacao and Sint Maarten,Curaçao and Sint Maarten,CBCS,0.6666666666666666,0.8333333333333333,3,0.0,0.3333333333333333,0.6666666666666666,0.5,1.432119643,1.0,1.0,0.0,0.0,-0.685964047,2018-06-29,2022-06-16 00:00:00
cyprus,Cyprus,Cyprus,CY,1.0,1.0,2,0.0,0.0,1.0,1.0,3.229616413,0.0,0.0,0.0,0.0,-0.685964047,2023-12-07,2023-12-09 00:00:00
czechia,Czech Republic,Czechia,CZ,0.0,0.5,2,0.0,1.0,0.0,-0.5,-2.162873898,1.0,1.0,0.0,14.32706767,1.56914051,2017-07-11,2018-02-27 00:00:00
denmark,Denmark,Denmark,DK,-0.1428571428571428,0.4285714285714286,7,0.1428571428571428,0.8571428571428571,0.0,-0.5,-2.162873898,1.0,1.0,0.0,14.08646617,1.531269428,2017-10-30,2024-02-19 00:00:00
swaziland,Eswatini,Swaziland,SZ,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,1.0,1.0,1.0,0.0,-0.685964047,2024-06-13,2024-06-13 00:00:00
euro area ecb,Euro Area,,,0.3421052631578947,0.6710526315789473,76,0.0394736842105263,0.5789473684210527,0.3815789473684211,,,,,,,,2016-04-25,2024-11-28 00:00:00
finland,Finland,Finland,FI,0.8,0.9,5,0.0,0.2,0.8,0.0,-0.365377128,1.0,1.0,0.0,15.18421053,1.704056238,2016-06-14,2023-09-26 00:00:00
france,France,France,FR,0.7619047619047619,0.8809523809523809,63,0.0,0.238095238095238,0.7619047619047619,0.873015873,2.773109297,2.0,1.0,2.0,13.37218045,1.418839655,2018-03-13,2024-11-06 00:00:00
germany,Germany,Germany,DE,0.5714285714285714,0.7857142857142857,56,0.0178571428571428,0.3928571428571428,0.5892857142857143,0.342857143,0.867192086,0.0,0.0,0.0,13.53383459,1.444284288,2016-06-21,2024-10-14 00:00:00
greece,Greece,Greece,GR,0.75,0.875,4,0.0,0.25,0.75,0.666666667,2.031285233,0.0,0.0,0.0,11.21428571,1.079183393,2018-05-24,2022-10-31 00:00:00
hong kong sar,Hong Kong,Hong Kong SAR,HK,0.9230769230769232,0.9615384615384617,26,0.0,0.0769230769230769,0.9230769230769232,0.952380952,3.058426244,2.0,2.0,2.0,21.07142857,2.630714264,2018-09-21,2024-11-27 00:00:00
iceland,Iceland,Iceland,IS,0.0,0.5,1,0.0,1.0,0.0,0.0,-0.365377128,1.0,1.0,0.0,0.0,-0.685964047,2018-04-05,2018-04-05 00:00:00
india,India,India,IN,0.8214285714285714,0.9107142857142857,28,0.0,0.1785714285714285,0.8214285714285714,1.0,3.229616413,2.0,2.0,2.0,9.120300752,0.749586637,2021-03-25,2024-12-14 00:00:00
ireland,Ireland,Ireland,IE,0.4666666666666667,0.7333333333333334,15,0.0666666666666666,0.4,0.5333333333333333,0.25,0.533371258,0.0,0.0,0.0,14.16917293,1.544287613,2016-06-16,2024-11-25 00:00:00
israel,Israel,Israel,IL,1.0,1.0,2,0.0,0.0,1.0,1.0,3.229616413,2.0,2.0,0.0,18.66917293,2.252595184,2022-06-20,2022-11-16 00:00:00
italy,Italy,Italy,IT,0.7037037037037037,0.8518518518518519,27,0.0,0.2962962962962963,0.7037037037037037,0.761904762,2.37366557,1.0,1.0,0.0,12.41729323,1.268538801,2018-06-07,2024-09-24 00:00:00
japan,Japan,Japan,JP,0.3684210526315789,0.6842105263157895,19,0.0,0.631578947368421,0.3684210526315789,0.0,-0.365377128,2.0,2.0,2.0,22.15789474,2.801725866,2016-05-12,2024-03-06 00:00:00
kenya,Kenya,Kenya,KE,0.0,0.5,1,0.0,1.0,0.0,0.0,-0.365377128,1.0,1.0,0.0,7.259398496,0.456677491,2021-09-22,2021-09-22 00:00:00
korea the republic of,Korea,,,0.5454545454545454,0.7727272727272727,11,0.0,0.4545454545454545,0.5454545454545454,,,,,,,,2017-01-02,2024-06-12 00:00:00
kuwait,Kuwait,Kuwait,KW,1.0,1.0,1,0.0,0.0,1.0,1.0,3.229616413,1.0,1.0,0.0,0.0,-0.685964047,2018-11-27,2018-11-27 00:00:00
lithuania,Lithuania,Lithuania,LT,0.3333333333333333,0.6666666666666666,3,0.0,0.6666666666666666,0.3333333333333333,0.25,0.533371258,1.0,1.0,0.0,10.56766917,0.977404861,2018-05-16,2022-09-29 00:00:00
malaysia,Malaysia,Malaysia,MY,0.6666666666666666,0.8333333333333333,6,0.0,0.3333333333333333,0.6666666666666666,0.5,1.432119643,2.0,1.0,2.0,14.36842105,1.575649602,2017-05-15,2024-07-17 00:00:00
mauritius,Mauritius,Mauritius,MU,0.875,0.9375,8,0.0,0.125,0.875,1.0,3.229616413,1.0,1.0,1.0,0.0,-0.685964047,2017-11-03,2023-04-26 00:00:00
mexico,Mexico,Mexico,MX,0.5,0.75,6,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.25,0.533371258,1.0,1.0,0.0,12.11654135,1.221199949,2019-07-09,2022-09-20 00:00:00
morocco,Morocco,Morocco,MA,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,1.0,1.0,0.0,12.14661654,1.225933834,2019-03-13,2019-03-13 00:00:00
nepal,Nepal,Nepal,NP,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,1.0,1.0,1.0,0.0,-0.685964047,2024-02-29,2024-02-29 00:00:00
netherlands,Netherlands,Netherlands (the),NL,0.5,0.75,4,0.0,0.5,0.5,0.0,-0.365377128,1.0,1.0,0.0,5.296992481,0.147791482,2020-11-09,2024-04-05 00:00:00
new zealand,New Zealand,New Zealand,NZ,0.3333333333333333,0.6666666666666666,12,0.0833333333333333,0.5,0.4166666666666667,0.142857143,0.148193378,1.0,1.0,1.0,12.96240602,1.35434047,2018-06-26,2024-10-14 00:00:00
nigeria,Nigeria,Nigeria,NG,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,3.0,3.0,0.0,6.240601504,0.29631713,2021-11-26,2021-11-26 00:00:00
north macedonia,North Macedonia,North Macedonia,MK,1.0,1.0,3,0.0,0.0,1.0,0.0,-0.365377128,0.0,0.0,0.0,0.0,-0.685964047,2017-07-07,2021-12-09 00:00:00
norway,Norway,Norway,NO,0.2,0.6,5,0.0,0.8,0.2,0.0,-0.365377128,2.0,2.0,1.0,14.63533835,1.617662833,2018-11-01,2021-05-11 00:00:00
islamic republic of pakistan,Pakistan,Islamic Republic of Pakistan,PK,0.5,0.75,2,0.0,0.5,0.5,0.0,-0.365377128,1.0,1.0,0.0,12.88345865,1.341914021,2017-11-21,2022-11-14 00:00:00
philippines the,Philippines,,,0.4545454545454545,0.7272727272727273,11,0.0,0.5454545454545454,0.4545454545454545,,,,,,,,2018-01-12,2024-07-30 00:00:00
portugal,Portugal,Portugal,PT,1.0,1.0,3,0.0,0.0,1.0,0.0,-0.365377128,0.0,0.0,0.0,15.56390977,1.763821538,2021-06-28,2021-10-11 00:00:00
russian federation,Russia,Russian Federation (the),RU,0.5,0.75,4,0.0,0.5,0.5,0.0,-0.365377128,2.0,2.0,0.0,11.78195489,1.168535476,2020-12-03,2021-09-22 00:00:00
serbia,Serbia,Serbia,RS,0.0,0.5,3,0.0,1.0,0.0,0.0,-0.365377128,0.0,0.0,0.0,11.03007519,1.050188346,2021-12-02,2023-06-22 08:18:00
singapore,Singapore,Singapore,SG,0.7333333333333333,0.8666666666666667,15,0.0,0.2666666666666666,0.7333333333333333,0.6,1.791618997,2.0,2.0,2.0,16.73308271,1.947851325,2016-11-16,2024-11-04 00:00:00
slovenia,Slovenia,Slovenia,SI,1.0,1.0,1,0.0,0.0,1.0,0.0,-0.365377128,0.0,0.0,0.0,10.39473684,0.950185022,2023-12-15,2023-12-15 00:00:00
