quarter,sentences,speeches
2016Q1,25,1
2016Q2,14,7
2016Q3,1,1
2016Q4,8,4
2017Q1,14,6
2017Q2,13,4
2017Q3,21,6
2017Q4,37,16
2018Q1,49,13
2018Q2,164,16
2018Q3,15,9
2018Q4,79,17
2019Q1,27,8
2019Q2,43,2
2019Q3,124,9
2019Q4,115,22
2020Q1,98,12
2020Q2,40,5
2020Q3,125,13
2020Q4,351,35
2021Q1,148,19
2021Q2,340,32
2021Q3,237,20
2021Q4,177,26
2022Q1,167,23
2022Q2,430,31
2022Q3,385,24
2022Q4,327,32
2023Q1,220,20
2023Q2,376,25
2023Q3,90,19
2023Q4,278,20
2024Q1,98,18
2024Q2,429,31
2024Q3,173,18
2024Q4,138,24
