affiliation,sentences,speeches,countries
Deutsche Bundesbank,1018,56,1
European Central Bank,1011,76,1
Federal Reserve Board,445,28,1
Banque de France,399,59,1
Bank of England,296,34,1
Banca d'Italia,275,27,1
Banco de España,178,11,1
Bank of Japan,175,19,1
Reserve Bank of India,155,28,1
Hong Kong Monetary Authority,136,26,1
Reserve Bank of Australia,123,14,1
Monetary Authority of Singapore,104,15,1
Reserve Bank of New Zealand,97,12,1
Swiss National Bank,76,9,1
Danmarks Nationalbank,70,7,1
Norges Bank,55,5,1
Bank of Mauritius,54,8,1
Bank of Korea,53,11,1
Bank of Canada,46,10,1
Bank of Lithuania,41,3,1
Central Bank of Ireland,40,15,1
Bank of Mexico,38,6,1
Central Bank of Chile,37,5,2
Bank of Finland,32,5,1
De Nederlandsche Bank,32,4,1
