1-gram,count,share_%
euro,2047,11.6
payments,808,4.58
money,722,4.09
payment,665,3.77
cbdcs,652,3.7
have,641,3.63
also,537,3.04
currencies,532,3.02
retail,450,2.55
wholesale,429,2.43
cash,376,2.13
public,373,2.11
potential,353,2.0
use,344,1.95
has,337,1.91
other,336,1.9
private,333,1.89
new,321,1.82
project,314,1.78
but,309,1.75
if,302,1.71
more,297,1.68
european,282,1.6
design,265,1.5
these,251,1.42
some,250,1.42
need,246,1.39
whether,239,1.35
risks,236,1.34
issue,233,1.32
one,231,1.31
about,225,1.28
eurosystem,223,1.26
cross,221,1.25
all,220,1.25
future,220,1.25
there,219,1.24
what,218,1.24
work,208,1.18
ecb,208,1.18
border,203,1.15
settlement,202,1.14
deposits,201,1.14
how,201,1.14
possible,200,1.13
issued,198,1.12
role,196,1.11
important,194,1.1
like,192,1.09
form,185,1.05
