2-gram,count,share_%
"('cross border',)",203,7.0
"('border payments',)",121,4.17
"('federal reserve',)",120,4.14
"('euro area',)",119,4.1
"('means payment',)",101,3.48
"('u s',)",95,3.27
"('euro project',)",93,3.21
"('private sector',)",88,3.03
"('payment systems',)",81,2.79
"('general public',)",79,2.72
"('let me',)",75,2.59
"('currencies cbdcs',)",70,2.41
"('investigation phase',)",66,2.28
"('use cases',)",63,2.17
"('euro also',)",56,1.93
"('banque de',)",55,1.9
"('distributed ledger',)",54,1.86
"('form money',)",53,1.83
"('international settlements',)",53,1.83
"('retail payments',)",52,1.79
"('de france',)",52,1.79
"('but also',)",50,1.72
"('payment solutions',)",49,1.69
"('legal tender',)",47,1.62
"('private money',)",47,1.62
"('https www',)",46,1.59
"('panetta f',)",45,1.55
"('wholesale cbdcs',)",43,1.48
"('general purpose',)",42,1.45
"('introduction euro',)",41,1.41
"('issue euro',)",40,1.38
"('retail cbdcs',)",40,1.38
"('public money',)",40,1.38
"('united states',)",39,1.34
"('payments market',)",38,1.31
"('service providers',)",38,1.31
"('governing council',)",38,1.31
"('european parliament',)",38,1.31
"('design euro',)",38,1.31
"('same time',)",37,1.28
"('money payments',)",37,1.28
"('issuance euro',)",37,1.28
"('public consultation',)",37,1.28
"('forms money',)",36,1.24
"('commercial money',)",36,1.24
"('design features',)",36,1.24
"('crypto assets',)",35,1.21
"('balance sheet',)",34,1.17
"('issuing euro',)",34,1.17
"('payments landscape',)",34,1.17
