country,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,2,10,3,19,141,116,300,142,285
Euro Area,6,9,27,30,146,150,412,153,78
US,0,10,9,23,37,160,99,121,6
France,0,0,11,34,60,106,92,46,67
UK,28,2,9,0,37,37,36,123,24
Italy,0,0,62,0,24,18,81,70,20
Spain,0,1,0,0,26,53,42,57,0
Japan,5,5,26,69,27,5,9,6,23
India,0,0,0,0,0,75,9,25,46
Hong Kong,0,0,4,1,5,29,4,46,47
Australia,0,5,1,0,1,9,6,20,81
Singapore,1,1,12,1,0,39,42,3,5
New Zealand,0,0,34,1,20,1,35,3,3
Switzerland,0,0,1,1,0,1,0,15,58
Denmark,0,15,0,0,0,10,16,11,18
Norway,0,0,7,10,29,9,0,0,0
Mauritius,0,1,1,4,0,1,3,44,0
Korea,0,1,1,0,2,1,47,0,1
Canada,2,1,6,0,26,8,0,0,3
Lithuania,0,0,2,38,0,0,1,0,0
Ireland,1,2,0,1,2,19,2,0,13
Mexico,0,0,0,29,0,8,1,0,0
Finland,1,0,0,0,0,10,18,3,0
Netherlands,0,0,0,0,1,1,1,0,29
Chile,0,5,0,25,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,29,0
Greece,0,0,20,0,1,0,8,0,0
Cyprus,0,0,0,0,0,0,0,27,0
Czech Republic,0,9,16,0,0,0,0,0,0
Sweden,2,0,12,0,0,5,3,0,0
Philippines,0,0,6,1,4,0,2,3,4
Russia,0,0,0,0,13,7,0,0,0
Bahamas,0,0,1,13,5,0,0,0,0
Malaysia,0,2,1,0,6,0,0,2,7
China,0,0,0,0,0,4,13,0,0
Belgium,0,0,16,0,0,0,0,0,0
Thailand,0,0,5,3,0,3,4,0,0
South Africa,0,1,5,0,0,0,5,0,2
Israel,0,0,0,0,0,0,11,0,0
Slovenia,0,0,0,0,0,0,0,11,0
Nepal,0,0,0,0,0,0,0,0,9
Eswatini,0,0,0,0,0,0,0,0,9
Curacao and Sint Maarten,0,0,3,5,0,0,1,0,0
North Macedonia,0,1,2,0,0,5,0,0,0
Portugal,0,0,0,0,0,8,0,0,0
Barbados,0,2,0,0,0,0,4,0,0
Serbia,0,0,0,0,0,1,1,4,0
Albania,0,0,0,0,1,1,0,0,0
Pakistan,0,1,0,0,0,0,1,0,0
Nigeria,0,0,0,0,0,1,0,0,0
Morocco,0,0,0,1,0,0,0,0,0
Kuwait,0,0,1,0,0,0,0,0,0
Iceland,0,0,1,0,0,0,0,0,0
Botswana,0,1,0,0,0,0,0,0,0
UAE,0,0,1,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,1,0,0,0,0,0,0
Kenya,0,0,0,0,0,1,0,0,0
